lat	lng	type
42.6400895	23.3303709	храм
42.7096803	23.3141099	храм
42.6975043	23.2956804	храм
42.7124597	23.4081819	храм
42.6145152	23.3364651	храм
42.61379	23.3388357	храм
42.7348739	23.2768646	храм
42.7175676	23.3682549	храм
42.7011804	23.3510053	храм
42.6955384	23.3362271	храм
42.6757761	23.2527078	храм
42.6205872	23.4039774	храм
42.6312488	23.3200677	храм
42.7059798	23.3474419	храм
42.6934012	23.31371	храм
42.66526689	23.40277582	храм
42.6749038	23.2317931	храм
42.6718247	23.3207147	храм
42.6964054	23.2834174	храм
42.64674	23.2804154	храм
42.6860338	23.3483484	храм
42.6969165	23.3228407	храм
42.6532326	23.3648206	храм
42.7037315	23.3621311	храм
42.6960852	23.2239603	храм
42.6261795	23.4075594	храм
42.6897082	23.3160525	храм
42.6854424	23.3113795	храм
42.7274462	23.3049372	храм
42.6848193	23.3124018	храм
42.6757227	23.3362416	храм
42.6853261	23.365444	храм
42.7439844	23.2670102	храм
42.6513356	23.349001	храм
42.6494732	23.3110698	храм
42.6898245	23.2297586	храм
42.69884784	23.3196902	храм
42.7136558	23.2644536	храм
42.7376225	23.3146157	храм
42.7647225	23.5661457	храм
42.7254096	23.2747618	храм
42.6723938	23.3189676	храм
42.6855379	23.3688319	храм
42.66021587	23.36011207	храм
42.6649031	23.3250081	храм
42.6855239	23.3191034	храм
42.6619424	23.3977822	храм
42.6959806	23.3212049	храм
42.6769892	23.2385328	храм
42.6292311	23.4087333	храм
42.7124597	23.4081819	храм
42.6937753	23.3327986	храм
42.691163	23.294588	храм
42.6959287	23.3230356	храм
42.7016027	23.310011	храм
42.6639291	23.2554474	храм
42.6500081	23.2637167	храм
42.6446405	23.2662036	храм
42.7620239	23.2019912	храм
42.6960429	23.3224841	храм
42.7229345	23.3429742	храм
42.6984523	23.3227763	храм
42.7845855	23.5011901	храм
42.6829354	23.3233877	храм
42.6515905	23.4053994	храм
42.6588666	23.2426587	храм
42.7525133	23.3140453	храм
42.7031702	23.2959215	храм
42.72568	23.317207	храм
42.6928433	23.3168407	храм
42.6752315	23.2810258	храм
42.7035661	23.3217286	храм
42.7035036	23.3044345	храм
42.6401317	23.3816673	храм
